grid_dx_m,radius_m,mask_mode,level_m,quantity,term,blocks,signed_m2_s,sum_abs_block_integrals_m2_s,sum_spatial_abs_blocks_m2_s,spatial_retained_fraction,temporal_retained_fraction
300,1200.0,fixed_initial,1201.5895783515407,total,predictor_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1201.5895783515407,total,projection,9,1.348332456427813e-12,2.3654784186109834e-11,1.8943525947109213e-10,0.12487001760999811,0.05700041250934591
300,1200.0,fixed_initial,1201.5895783515407,total,projection_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1201.5895783515407,total,surface_drag,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1201.5895783515407,total,transport_microphysics_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1341.445515999237,les_label,inferred_muscl_label,9,372.23575902834676,2382.1999754751705,8641.761103977733,0.27566140128297034,0.15625714165919172
300,1200.0,fixed_initial,1341.445515999237,les_label,local_les,9,-394.3938981781333,1041.998979473864,3078.2251782218245,0.33850641819380733,0.3784973939007833
300,1200.0,fixed_initial,1341.445515999237,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1341.445515999237,total,advection,9,-24752.15209209463,48202.05494780235,107432.63893430376,0.44867235344817735,0.5135082335991391
300,1200.0,fixed_initial,1341.445515999237,total,buoyancy,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1341.445515999237,total,coriolis,9,317.23006819122685,317.23006819122685,531.3861590945627,0.5969859447068779,1.0
300,1200.0,fixed_initial,1341.445515999237,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1341.445515999237,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1341.445515999237,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1341.445515999237,total,les,9,-394.3938981781333,1041.998979473864,3078.2251782218245,0.33850641819380733,0.3784973939007833
300,1200.0,fixed_initial,1341.445515999237,total,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1341.445515999237,total,predictor_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1341.445515999237,total,projection,9,7.481045812126816e-12,1.959751330942068e-11,1.7350028274428116e-10,0.11295378312613526,0.3817344422228619
300,1200.0,fixed_initial,1341.445515999237,total,projection_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1341.445515999237,total,surface_drag,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1341.445515999237,total,transport_microphysics_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1488.294250529318,les_label,inferred_muscl_label,9,614.2101346364851,2940.284997001919,8836.826573948434,0.3327308703409524,0.208894761991701
300,1200.0,fixed_initial,1488.294250529318,les_label,local_les,9,-537.0091598233389,1092.455796112211,3522.6958173972794,0.31011925319154143,0.49156145423405334
300,1200.0,fixed_initial,1488.294250529318,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1488.294250529318,total,advection,9,-26666.94051465051,44748.30399580178,113120.07506457575,0.39558234000690645,0.595931870784474
300,1200.0,fixed_initial,1488.294250529318,total,buoyancy,9,0.0,0.0,0.0,,
